Species_measured,Terminal_name,N,Size,Error,References
Cyclaster_regalis,Cyclaster_regalis,12,5.099417448781962,5.146937740728418e-4,"Baker (1969) - Two new species of heart-urchins, including a new species of Cyclaster, from New Zealand waters (Echinoidea: Spatangoida); NMNH Invertebrate Zoology; Schultz (2017) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa); Smith & Stockley (2005) - Fasciole pathways in spatangoid echinoids: a new source of phylogenetically informative characters ; The Echinoid Directory"
Dendraster_excentricus,Dendraster_excentricus,44,4.3719532357256075,0.004216357064409838,"Clark & Twitchell (1915) - The Mesozoic and Cenozoic Echinodermata from the United States; Clark (1935) - Some new echinoderms from California; MCZ Invertebrate Paleontology; MCZ Invertebrate Zoology; Mooi (1997) - San dollars of the genus Dendraster (Echinoidea: Clypeasteroida): phylogenetic systematics, heterochrony, and distribution of extant species; NMNH Invertebrate Zoology; NMNH Paleobiology; Scripps BIC; The Echinoid Directory; YPM Invertebrate Paleontology; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Desorella_elata,Desorella_elata,9,4.414142464367052,0.008894464572387408,"Barras (2006) - British Jurassic irregular echinoids; Cotteau (1849) - Etudes due les Echinides fossiles de department de l'Yonne; Fischer (1966) - Spatangoids. In: Treatise on Invertebrate Paleontology U - Echinodermata 3, 2; MCZ Invertebrate Paleontology; NHM; The Echinoid Directory"
Diadema_savignyi,Diadematidae,212,4.797125654690663,2.1281057202449667e-20,"Coppard & Campbell (2006) -  Taxonomic significance of test morphology in the echinoid genera Diadema Gray, 1825 and Echinothrix Peters, 1853 (Echinodermata); Mortensen (1940) - A Monograph of the Echinoidea - III. Aulodonta; The Echinoid Directory"
Diplocidaris_gigantea,Diplocidaris_gigantea,3,4.972696446828679,0.05085175330985721,"Barraclough Fell (1966) - Cidaroids. In: Treatise on Invertebrate Paleontology, U: Echinodermata 3.1; The Echinoid Directory"
Diplopodia_pentagona,Diplopodia_pentagona,13,3.0937658483217985,0.00934791303513841,"Abdelhady (2007) - Stratigraphical and paleontological studies on the Upper Cretaceous Strata, North Wadi Qena, Eastern Desert, Egypt; D‚sor & de Loriol (1923) - Echinologie Helv‚tique: Description Des Oursins Fossiles De La Suisse; M'Coy (1848) - On some new Mesozoic Radiata; NHM; Smith (2016) - British Jurassic regular echinoids, vol 2; The Echinoid Directory; Wright (1857) - Monograph on the British fossil Echinodermata of the oolitic formations"
Disaster_granulosus,Disaster_granulosus,14,3.477282227040774,0.006715576507667817,"Barras (2006) - British Jurassic irregular echinoids; Cotteau (1869) - Echinides du d‚partement de la Sarthe: consid‚r‚s au point de vue zoologique et stratigraphique; D‚sor & de Loriol (1923) - Echinologie Helv‚tique: Description Des Oursins Fossiles De La Suisse; Jesionek-Szymanska (1963) - Echinides irr‚guliers du Dogger de Pologne; Savin (1905) - R‚vision des ‚chinid‚s fossiles du d‚partement de l'IsŠre; The Echinoid Directory; Wright (1857) - Monograph on the British fossil Echinodermata of the oolitic formations; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Discoides_subuculus,Discoides_subuculus,80,2.637210201138378,7.426613071121127e-9,"Cotteau (1869) - Echinides du d‚partement de la Sarthe: consid‚r‚s au point de vue zoologique et stratigraphique; Geys (1994) - Holectypoid echinoids from the Cenomanian and Turonian strata in the Mons Basin (Belgium). 1. Discoides; NMNH Paleobiology; Smith et al. (1988) - Cenomanian and Lower Turonian echinoderms from Wilmington, south-east Devon, England; The Echinoid Directory; YPM Invertebrate Paleontology; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Echinarachnius_parma,Echinarachnius_parma,46,4.185512005867224,0.001947305824628165,"Agassiz (1872-1874) - Revision of the Echini, Parts 1-4; Cooke (1959) - Cenozoic echinoids of Eastern United States; Kier (1974) - Evolutionary trends and their functional significance in the postP echinoids; MCZ Invertebrate Zoology; NMNH Invertebrate Zoology; NMNH Paleobiology; Scripps BIC; The Echinoid Directory; YPM Invertebrate Paleontology; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Echinocardium_cordatum,Echinocardium,23,4.574250373394028,0.003431405920030654,"Clark (1925) - A catalogue of the recent sea-urchins (echinoidea) in the collection of the British Museum (Natural History); Fischer (1966) - Spatangoids. In: Treatise on Invertebrate Paleontology U - Echinodermata 3, 2; Higgins (1975) - Observations on the morphology of Echinocardium cordatum (Echinoidea: Spatangoidea) from diverse geographical areas; Kier (1974) - Evolutionary trends and their functional significance in the postP echinoids; MCZ Invertebrate Zoology; Mortensen (1951) - A Monograph of the Echinoidea - V. Spatangoida II; Nisiyama (1968) - The echinoid fauna from Japan and adjacent regions part 2; NMNH Invertebrate Zoology; Schultz (2017) - Echinoidea. In: Handbook of Zoology (Ed: Schmidt-Rhaesa); The Echinoid Directory; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
